starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:23 2023	1682202623	61	501	562	499
Sat Apr 22 17:31:28 2023	1682202688	57	994	1051	588
Sat Apr 22 17:30:06 2023	1682202606	174	932	1105	611
Sat Apr 22 17:31:14 2023	1682202674	69	1042	1111	1041
Sat Apr 22 17:31:28 2023	1682202688	71	1045	1116	645
Sat Apr 22 17:30:12 2023	1682202612	77	1148	1225	941
Sat Apr 22 17:31:28 2023	1682202688	62	1349	1411	1034
Sat Apr 22 17:31:12 2023	1682202672	62	1386	1449	1385
Sat Apr 22 17:31:29 2023	1682202689	67	1400	1467	606
Sat Apr 22 17:31:22 2023	1682202682	58	1453	1511	1277
Sat Apr 22 17:31:12 2023	1682202672	61	1470	1532	808
Sat Apr 22 17:31:27 2023	1682202687	65	1543	1608	1164
Sat Apr 22 17:31:01 2023	1682202661	68	1628	1696	1626
Sat Apr 22 17:31:27 2023	1682202687	66	1634	1700	1229
Sat Apr 22 17:31:28 2023	1682202688	81	1628	1708	886
Sat Apr 22 17:30:07 2023	1682202607	58	1691	1749	552
Sat Apr 22 17:31:13 2023	1682202673	81	1673	1754	480
Sat Apr 22 17:31:28 2023	1682202688	68	1690	1758	667
Sat Apr 22 17:31:27 2023	1682202687	58	1897	1955	580
Sat Apr 22 17:31:28 2023	1682202688	65	1938	2003	1387
Sat Apr 22 17:31:27 2023	1682202687	57	1971	2028	663
Sat Apr 22 17:30:41 2023	1682202641	60	1982	2042	1658
Sat Apr 22 17:31:27 2023	1682202687	70	1994	2064	519
Sat Apr 22 17:31:28 2023	1682202688	97	2051	2147	1287
Sat Apr 22 17:31:27 2023	1682202687	66	2096	2162	639
Sat Apr 22 17:31:29 2023	1682202689	54	2133	2187	1577
Sat Apr 22 17:31:27 2023	1682202687	60	2143	2203	527
Sat Apr 22 17:30:06 2023	1682202606	60	2184	2244	1452
Sat Apr 22 17:31:27 2023	1682202687	74	2178	2252	589
Sat Apr 22 17:31:28 2023	1682202688	62	2191	2254	1626
Sat Apr 22 17:31:11 2023	1682202671	61	2201	2262	1861
Sat Apr 22 17:31:27 2023	1682202687	62	2277	2339	899
Sat Apr 22 17:31:28 2023	1682202688	57	2311	2368	1844
Sat Apr 22 17:30:07 2023	1682202607	62	2319	2381	454
Sat Apr 22 17:30:40 2023	1682202640	86	2298	2384	1251
Sat Apr 22 17:31:28 2023	1682202688	69	2368	2437	1901
Sat Apr 22 17:30:40 2023	1682202640	64	2374	2439	1403
Sat Apr 22 17:31:27 2023	1682202687	59	2393	2453	712
Sat Apr 22 17:31:27 2023	1682202687	65	2392	2457	1222
Sat Apr 22 17:31:28 2023	1682202688	63	2457	2520	969
Sat Apr 22 17:30:07 2023	1682202607	63	2469	2531	469
Sat Apr 22 17:31:27 2023	1682202687	63	2496	2559	2021
Sat Apr 22 17:31:28 2023	1682202688	62	2618	2680	1954
Sat Apr 22 17:31:28 2023	1682202688	72	2619	2691	1947
